"Index","3M","American Express","Apple","Boeing","Caterpillar","Chevron","Cisco Systems","Coca-Cola","DuPont","ExxonMobil","General Electric","Goldman Sachs","The Home Depot","Intel","IBM","Johnson & Johnson","JPMorgan Chase","McDonald's","Merck","Microsoft","Nike","Pfizer","Procter & Gamble","Travelers","UnitedHealth Group","United Technologies","Verizon","Visa","Wal-Mart","Walt Disney"
2010-01-04,72.9019,37.86977,28.83805,49.74539,51.22918,66.16577,22.20882,24.46602,28.75776,60.26385,12.97573,161.91029,25.20525,17.49561,119.53254,54.51418,37.93679,53.0607,30.16182,26.94331,30.37726,15.54546,51.86387,43.47459,29.24539,63.40834,23.74867,21.18097,47.66087,29.97158
2010-01-05,72.44528,37.78648,28.8879,51.37465,51.84166,66.63445,22.10988,24.17006,28.48076,60.49915,13.04291,164.77283,25.38987,17.48723,118.08859,53.88206,38.67162,52.65501,30.28406,26.95201,30.49812,15.32373,51.88084,42.44467,29.19901,62.46115,23.79148,20.93826,47.18628,29.89682
2010-01-06,73.47269,38.39729,28.4284,52.93306,51.99915,66.64281,21.96596,24.16148,28.57309,61.02205,12.97573,163.01414,25.30196,17.42858,117.32149,54.32032,38.8841,51.9366,30.69154,26.78661,30.31218,15.27446,51.63476,41.84243,29.48655,62.13362,23.10739,20.65709,47.08081,29.73794
2010-01-07,73.52538,39.02005,28.37585,55.07589,52.20914,66.39174,22.0649,24.10143,28.86688,60.83033,13.64761,166.20409,25.60087,17.261,116.91537,53.93263,39.65435,52.31694,30.74044,26.50804,30.60968,15.21698,51.35474,42.44467,30.61815,62.39919,22.96984,20.84934,47.10718,29.74729
2010-01-08,74.04346,38.99216,28.5645,54.54461,52.79537,66.50891,22.18184,23.65535,28.48915,60.5863,13.94156,163.06091,25.47779,17.45372,118.08859,54.11805,39.55696,52.26622,30.72414,26.69085,30.54925,15.34016,51.28685,42.38358,30.33061,62.52311,22.98432,20.90701,46.86989,29.79402
2010-01-11,73.7449,38.54601,28.31251,53.89822,56.11148,67.68894,22.11887,24.13574,28.75776,61.26607,14.07593,160.48839,24.75688,17.55427,116.8522,54.12648,39.42416,52.67191,30.84639,26.35134,30.17273,15.46334,51.08319,42.36612,30.53467,63.87751,23.07843,20.84694,47.64329,29.30804
2010-01-12,73.80637,39.05723,27.99047,53.50862,54.45781,67.2956,21.76806,24.39739,28.53952,60.96104,14.08433,156.98976,24.59864,17.26938,117.78175,54.41304,38.50341,52.95927,30.6019,26.17723,30.1309,15.41407,51.6687,42.63669,29.72771,63.50571,23.10015,20.74841,48.1003,28.80337
2010-01-13,73.56927,39.17806,28.38528,54.155,54.53655,66.78509,22.16385,24.46173,28.79134,60.71703,14.13472,158.15909,24.73051,17.56264,117.52905,54.7586,39.17627,52.90011,31.72655,26.42098,30.4005,15.7754,52.20329,42.78507,30.18221,64.23159,23.07119,20.94066,48.34638,29.24262
2010-01-14,73.3234,39.67069,28.22088,54.50919,54.23031,66.57586,22.44269,24.50462,28.61506,60.72574,14.02554,157.65393,24.87996,17.99836,119.4062,54.86816,39.56581,52.95082,32.59041,26.95201,30.20992,15.915,52.25421,43.012,30.90569,64.4529,22.60064,21.01275,47.64329,28.99029
2010-01-15,73.20925,39.40114,27.74926,53.85395,52.96177,66.30805,21.94796,24.14432,28.54791,60.22899,13.80718,154.5482,25.11733,17.42858,118.92789,54.41304,38.67162,52.6381,32.16663,26.86496,29.93102,16.00534,51.6093,42.58432,31.30453,63.72702,22.13734,20.70035,47.17749,28.59777
